ofi_insc;prov_insc;cant_insc;parr_insc;anio_insc;mes_insc;dia_insc;fecha_insc;anio_div;mes_div;dia_div;fecha_div;anio_mat;mes_mat;dia_mat;fecha_mat;mcapbie;dur_mat;cau_div;nac_hom;cod_paish;anio_nach;mes_nach;dia_nach;fecha_nach;edad_hom;hijos_hom;p_etnica_hom;sabe_leerh;niv_insth;prov_habh;cant_habh;parr_habh;area_hom;nac_muj;cod_paism;anio_nacm;mes_nacm;dia_nacm;fecha_nacm;edad_muj;hijos_muj;p_etnica_muj;sabe_leerm;niv_instm;prov_habm;cant_habm;parr_habm;area_muj
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Marzo;8;03/08/2016;2015;Diciembre;21;12/21/2015;1992;Enero;31;1/31/1992;No;24;10;Ecuatoriano;EC;1970;9;1;09/01/1970;45;0;Mestizo;Si;Secundaria;Tungurahua;Ambato;Atahualpa (Chisalata);Rural;Ecuatoriana;EC;1970;8;13;8/13/1970;45;0;Mestiza;Si;Primaria;Loja;Loja;Valle;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;8;01/08/2016;2015;Diciembre;22;12/22/2015;1998;Enero;13;1/13/1998;No;17;10;Extranjero;ZZ;1978;1;1;01/01/1978;38;0;Ignorado;Se ignora;Se ignora;Loja;Loja;Malacatos (Valladolid);Rural;Ecuatoriana;EC;1972;1;1;01/01/1972;44;1;Mestiza;Si;Secundaria;Loja;Loja;Malacatos (Valladolid);Rural
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Junio;6;06/06/2016;2015;Diciembre;30;12/30/2015;1991;Septiembre;5;09/05/1991;No;24;10;Ecuatoriano;EC;1971;12;25;12/25/1971;44;0;Mestizo;Si;Secundaria;Loja;Loja;Valle;Urbana;Ecuatoriana;EC;1972;6;7;06/07/1972;43;0;Mestiza;Si;Superior;Orellana;Orellana;Puerto Francisco de Orellana (El Coca);Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;8;01/08/2016;2015;Diciembre;22;12/22/2015;1995;Mayo;15;5/15/1995;Se ignora;20;10;Ecuatoriano;EC;1977;5;13;5/13/1977;38;0;Mestizo;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1975;10;27;10/27/1975;40;0;Mestiza;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;22;2/22/2016;2015;Diciembre;11;12/11/2015;1993;Agosto;6;08/06/1993;No;22;1;Ecuatoriano;EC;1973;4;13;4/13/1973;42;0;Mestizo;Si;Primaria;Loja;Catamayo;Catamayo;Urbana;Ecuatoriana;EC;1978;7;22;7/22/1978;37;1;Mestiza;Si;Superior;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;27;1/27/2016;2015;Diciembre;18;12/18/2015;1999;Enero;6;01/06/1999;No;17;1;Ecuatoriano;EC;1975;8;8;08/08/1975;40;0;Mestizo;Si;Secundaria;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1977;8;4;08/04/1977;38;3;Mestiza;Si;Superior;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Diciembre;23;12/23/2016;2015;Diciembre;4;12/04/2015;2009;Julio;29;7/29/2009;No;7;1;Ecuatoriano;EC;1972;10;1;10/01/1972;44;0;Mestizo;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1978;11;4;11/04/1978;38;0;Mestiza;Si;Primaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Septiembre;23;9/23/2016;2015;Diciembre;15;12/15/2015;2006;Febrero;23;2/23/2006;No;10;2;Ecuatoriano;EC;1978;8;2;08/02/1978;38;0;Mestizo;Si;Secundaria;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1975;3;8;03/08/1975;41;1;Mestiza;Si;Primaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Marzo;11;03/11/2016;2015;Diciembre;24;12/24/2015;1996;Abril;8;04/08/1996;No;19;1;Ecuatoriano;EC;1975;9;13;9/13/1975;40;0;Mestizo;Si;Superior;Azuay;Cuenca;Cuenca, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1978;4;6;04/06/1978;37;2;Mestiza;Si;Secundaria;Los Rios;Quevedo;Quevedo;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Abril;11;04/11/2016;2015;Diciembre;10;12/10/2015;2002;Mayo;16;5/16/2002;No;13;1;Ecuatoriano;EC;1980;6;8;06/08/1980;35;0;Mestizo;Si;Secundaria;Loja;Loja;Valle;Urbana;Ecuatoriana;EC;1978;10;15;10/15/1978;37;1;Mestiza;Si;Ciclo postbachillerato;Loja;Puyango;Mercadillo;Rural
